"Country","Year","Hospital beds (per 10 000 population)"
"Afghanistan","2015","5"
"Afghanistan","2014","5"
"Afghanistan","2013","5"
"Albania","2013","29"
"Algeria","2015","19"
"Antigua and Barbuda","2014","38"
"Antigua and Barbuda","2013","39"
"Argentina","2014","50"
"Argentina","2013","49"
"Armenia","2015","42"
"Armenia","2013","41"
"Australia","2014","38"
"Austria","2013","76"
"Azerbaijan","2013","47"
"Bahamas","2013","29"
"Bahrain","2014","20"
"Bahrain","2013","21"
"Bangladesh","2015","8"
"Bangladesh","2014","6"
"Barbados","2014","58"
"Barbados","2013","62"
"Belarus","2013","110"
"Belgium","2014","62"
"Belgium","2013","63"
"Belize","2014","13"
"Belize","2013","9"
"Bolivia (Plurinational State of)","2014","11"
"Bolivia (Plurinational State of)","2013","11"
"Bosnia and Herzegovina","2013","35"
"Brazil","2014","22"
"Brazil","2013","23"
"Brunei Darussalam","2015","27"
"Bulgaria","2013","68"
"Burundi","2014","8"
"Cambodia","2015","8"
"Cambodia","2013","7"
"Chile","2013","22"
"Colombia","2014","15"
"Colombia","2013","15"
"Costa Rica","2015","12"
"Costa Rica","2014","11"
"Costa Rica","2013","11"
"Croatia","2015","56"
"Croatia","2013","59"
"Cuba","2014","52"
"Cuba","2013","51"
"Cyprus","2013","34"
"Czechia","2015","65"
"Czechia","2013","65"
"Denmark","2015","25"
"Denmark","2013","31"
"Djibouti","2014","14"
"Djibouti","2013","14"
"Dominican Republic","2014","16"
"Dominican Republic","2013","16"
"Ecuador","2013","15"
"Egypt","2014","16"
"Egypt","2013","5"
"El Salvador","2014","13"
"El Salvador","2013","11"
"Estonia","2015","50"
"Estonia","2013","50"
"Ethiopia","2015","3"
"Finland","2015","44"
"Finland","2013","49"
"France","2013","65"
"Georgia","2013","26"
"Germany","2013","83"
"Greece","2015","43"
"Grenada","2014","37"
"Grenada","2013","37"
"Guatemala","2014","6"
"Guyana","2014","16"
"Haiti","2013","7"
"Honduras","2014","7"
"Honduras","2013","7"
"Hungary","2013","70"
"Iceland","2014","32"
"Iceland","2013","32"
"Indonesia","2015","12"
"Iran (Islamic Republic of)","2014","15"
"Iran (Islamic Republic of)","2013","15"
"Iraq","2014","14"
"Iraq","2013","13"
"Ireland","2013","28"
"Israel","2013","31"
"Jamaica","2013","17"
"Jordan","2015","14"
"Jordan","2014","19"
"Jordan","2013","18"
"Kazakhstan","2013","67"
"Kiribati","2015","19"
"Kuwait","2014","20"
"Kuwait","2013","22"
"Kyrgyzstan","2013","45"
"Latvia","2013","58"
"Lebanon","2014","29"
"Lebanon","2013","29"
"Libya","2014","37"
"Libya","2013","37"
"Lithuania","2013","73"
"Luxembourg","2015","48"
"Luxembourg","2014","49"
"Luxembourg","2013","51"
"Malaysia","2015","19"
"Malta","2014","47"
"Malta","2013","48"
"Mexico","2015","15"
"Mexico","2013","16"
"Morocco","2014","11"
"Morocco","2013","9"
"New Zealand","2013","28"
"Nicaragua","2014","9"
"Nicaragua","2013","9"
"Niger","2015","3"
"Norway","2013","39"
"Oman","2014","16"
"Oman","2013","17"
"Pakistan","2014","6"
"Pakistan","2013","6"
"Panama","2013","23"
"Peru","2014","16"
"Peru","2013","15"
"Poland","2013","65"
"Portugal","2013","34"
"Qatar","2014","12"
"Qatar","2013","14"
"Republic of Korea","2015","115"
"Republic of Moldova","2013","58"
"Republic of North Macedonia","2013","44"
"Romania","2013","63"
"Russian Federation","2013","82"
"Saint Lucia","2013","13"
"Saint Vincent and the Grenadines","2014","26"
"Saint Vincent and the Grenadines","2013","25"
"Saudi Arabia","2014","27"
"Saudi Arabia","2013","22"
"Singapore","2015","24"
"Singapore","2013","21"
"Slovakia","2015","58"
"Slovakia","2013","58"
"Slovenia","2013","46"
"Somalia","2014","9"
"Somalia","2013","9"
"Spain","2013","30"
"Sudan","2013","8"
"Sweden","2013","26"
"Switzerland","2013","47"
"Syrian Arab Republic","2014","15"
"Syrian Arab Republic","2013","15"
"Tajikistan","2013","48"
"Trinidad and Tobago","2014","30"
"Trinidad and Tobago","2013","27"
"Tunisia","2015","23"
"Tunisia","2014","22"
"Tunisia","2013","21"
"Turkey","2013","27"
"Turkmenistan","2013","74"
"Ukraine","2013","88"
"United Arab Emirates","2013","12"
"United Kingdom of Great Britain and Northern Ireland","2013","28"
"United States of America","2013","29"
"Uruguay","2014","28"
"Uruguay","2013","25"
"Uzbekistan","2013","40"
"Venezuela (Bolivarian Republic of)","2014","8"
"Viet Nam","2014","26"
"Yemen","2014","7"
"Yemen","2013","7"
